PCI,Latitude,Longitude,Time
5,19.10922605,72.85351986,2024:10:04 11:30:14
5,19.10925662,72.85343505,2024:10:04 11:30:15
5,19.10927161,72.85339609,2024:10:04 11:30:16
5,19.1092883,72.85334706,2024:10:04 11:30:17
5,19.10930341,72.85327955,2024:10:04 11:30:18
5,19.10932277,72.85321598,2024:10:04 11:30:19
5,19.10934126,72.85315267,2024:10:04 11:30:20
5,19.10935483,72.85311559,2024:10:04 11:30:21
5,19.10936367,72.85308552,2024:10:04 11:30:22
5,19.10937195,72.85306207,2024:10:04 11:30:23
5,19.10937929,72.85302637,2024:10:04 11:30:24
5,19.10939109,72.85298381,2024:10:04 11:30:25
5,19.10940178,72.85293538,2024:10:04 11:30:26
5,19.10941225,72.85287716,2024:10:04 11:30:27
5,19.1094311,72.85281077,2024:10:04 11:30:28
5,19.10945874,72.8527434,2024:10:04 11:30:29
5,19.10948807,72.85267505,2024:10:04 11:30:30
5,19.10950504,72.85259595,2024:10:04 11:30:31
5,19.10954632,72.85251638,2024:10:04 11:30:32
5,19.10959343,72.85244364,2024:10:04 11:30:33
5,19.10963753,72.85236928,2024:10:04 11:30:34
5,19.10968647,72.85229946,2024:10:04 11:30:35
5,19.10974273,72.85222661,2024:10:04 11:30:36
5,19.10979566,72.85214931,2024:10:04 11:30:37
5,19.10985275,72.85207001,2024:10:04 11:30:38
5,19.1099115,72.85199328,2024:10:04 11:30:39
5,19.10996056,72.85189771,2024:10:04 11:30:40
5,19.11002144,72.85181229,2024:10:04 11:30:41
5,19.11008877,72.85174203,2024:10:04 11:30:42
5,19.11013294,72.85166252,2024:10:04 11:30:43
5,19.11017089,72.85160108,2024:10:04 11:30:44
5,19.11021868,72.8515437,2024:10:04 11:30:45
5,19.11026812,72.85147587,2024:10:04 11:30:46
5,19.11031765,72.85140694,2024:10:04 11:30:47
7,19.11036739,72.85133359,2024:10:04 11:30:47
7,19.11042216,72.8512613,2024:10:04 11:30:47
5,19.11047445,72.85118691,2024:10:04 11:30:47
5,19.11052296,72.85111669,2024:10:04 11:30:48
5,19.11057439,72.85104899,2024:10:04 11:30:48
5,19.11061604,72.85099076,2024:10:04 11:30:48
5,19.11065995,72.85092362,2024:10:04 11:30:48
5,19.11070302,72.85084836,2024:10:04 11:30:48
5,19.11075494,72.85077987,2024:10:04 11:30:48
5,19.11080941,72.85072338,2024:10:04 11:30:49
5,19.11085235,72.85064736,2024:10:04 11:30:49
5,19.11089912,72.85059104,2024:10:04 11:30:49
5,19.11095013,72.85053458,2024:10:04 11:30:49
5,19.11099631,72.8504726,2024:10:04 11:30:49
5,19.11104281,72.85041526,2024:10:04 11:30:49
5,19.11108669,72.85036557,2024:10:04 11:30:50
5,19.11111364,72.85032131,2024:10:04 11:30:50
5,19.11112593,72.85030129,2024:10:04 11:30:50
7,19.11113626,72.85027331,2024:10:04 11:30:51
7,19.11115622,72.85024022,2024:10:04 11:30:52
5,19.11118664,72.85019794,2024:10:04 11:30:53
5,19.11120588,72.85018373,2024:10:04 11:30:54
5,19.11122417,72.85016315,2024:10:04 11:30:55
5,19.11123515,72.85011668,2024:10:04 11:30:56
